Barcode No.,Item Code,Item Name,Item Category,HSN Code,Quantity,MRP,Net Amount,Facility,Facility Name
2658447,SYS162313,AM 0132 - Admyra - Female - Pink - 52 - Full Frame - Cat Eye - Sheet,frame,90031100,1,2790.0,2645.94,Kolkata AJC Bose Road,Kolkata AJC Bose Road
2755034,SYS171838,AV 5E211 - Avanta - Male - Black - 51 - Full Frame - Square - TR,frame,90031100,1,1090.0,926.25,Panvel Laxmi Eye,Panvel Laxmi Eye
2673275,SYS167619,AV TR11521 - Avanta Kids - Kids - Blue - 47 - Full Frame - Rectangle - TR,Frame,90031100,1,790.0,673.64,Gwalior Lashkar Ratan Jyoti Netralaya,Gwalior Lashkar Ratan Jyoti Netralaya
2666814,SYS165490,AV 7241 - Avanta - Male - C4 - 53 - Full Frame - Square - Metal,frame,90031100,1,1790.0,1611.0,Delhi Shahdara,Delhi Shahdara
2661722,SYS116763,MF4016 - MiraFlex - Kids - L897 - 52 - Full Frame - Square - Sheet,frame,90031100,1,2690.0,2402.26,Bhiwani Circular Road,Bhiwani Circular Road
553623,SYS92442,P.C. 8883 - Pierre Cardin - Female - J5G - 54 - Full Frame - Cat Eye - Metal,frame,90031100,1,6468.75,5683.29,Delhi Dwarka Sec 09,Delhi Dwarka Sec 09
2754907,SYS171711,AV 25220 - Avanta - Male - D.Green - 52 - Full Frame - Rectangle - TR,frame,90031100,1,1090.0,922.31,Rewari Sector 5,Rewari Sector 5
2669002,SYS2859,SG Opt 4 - Transparent - Unisex - White - 54 - Surgery SG - Sport - Plastic,Goggles,90041000,1,200.0,200.0,Hyderabad Banjara Hills,Hyderabad Banjara Hills
2753716,SYS2856,SG Opt 1 - Dark cataract - Unisex - Black - 54 - Surgery SG - Sport - Plastic,Goggles,90041000,1,125.0,125.0,Hyderabad Banjara Hills,Hyderabad Banjara Hills
2672764,SYS167153,AV M101 - Avanta - Male - D/Brown - 50 - Full Frame - Rectangle - TR,frame,90031100,1,390.0,339.13,Delhi Ashok Vihar Phase II,Delhi Ashok Vihar Phase II
2753717,SYS2857,SG Opt 2 - Dark cataract - Unisex - Black - 54 - Surgery SG - Sport - Plastic,Goggles,90041000,2,200.0,380.0,Jodhpur Sardarpura,Jodhpur Sardarpura
2670348,SYS166356,OB 669835 - OMBRA - Male - C4 - 54 - Sunglass - Aviator - Metal,Goggles,90041000,1,1390.0,1120.0,Hyderabad Banjara Hills,Hyderabad Banjara Hills
2752702,SYS170615,AV 75022 - Avanta - Female - Transparent - 47 - Full Frame - Round - TR,frame,90031100,1,990.0,861.78,Delhi Rajouri Garden,Delhi Rajouri Garden
2669250,SYS166278,L8042 - Lifelinc - Female - Mix - 48 - Full Frame - Round - TR,frame,90031100,1,790.0,721.46,Siddipet Gandhi Chowk Krishna Sai,Siddipet Gandhi Chowk Krishna Sai
2755426,SYS172229,AV YW2022 - Avanta - Male - Copper - 52 - Supra - Rectangle - Metal,Frame,90031100,1,1090.0,964.6,Gwalior Lashkar Ratan Jyoti Netralaya,Gwalior Lashkar Ratan Jyoti Netralaya
2754520,SYS56572,VO3955BI - Vogue - Female - 280 - 49 - Half Frame - Oval - Metal,frame,90031100,1,3490.0,2792.0,Panvel Laxmi Eye,Panvel Laxmi Eye
2675000,SYS162646,AV 0063 - Avanta - Male - D/Brown - 51 - Full Frame - Square - Sheet,frame,90031100,1,1190.0,1162.47,Bhiwani Circular Road,Bhiwani Circular Road
2665709,SYS164868,AV 25035528 - Avanta - Male - Purple - 49 - Supra - Rectangle - Metal,frame,90031100,1,590.0,576.17,Srinagar Baghat Fazili,Srinagar Baghat Fazili
2751938,SYS169927,AV ZXA9204 - Avanta - Male - Gold - 52 - Supra - Rectangle - Metal,frame,90031100,1,790.0,632.0,Mumbai Ghatkopar Dr Mehta Eye,Mumbai Ghatkopar Dr Mehta Eye
2659640,SYS162504,C932309 - Chllemi - Female - Mix - 47 - Full Frame - Round - TR,frame,90031100,1,690.0,690.0,Siddipet Gandhi Chowk Krishna Sai,Siddipet Gandhi Chowk Krishna Sai
2751887,SYS169876,AV 2070503 - Avanta - Male - Black - 50 - Supra - Rectangle - Metal,frame,90031100,1,690.0,690.0,Jabalpur Napier Town,Jabalpur Napier Town
2752893,SYS170806,AV 75016 - Avanta - Male - Black - 50 - Full Frame - Rectangle - TR,frame,90031100,1,890.0,801.0,Gaya Chanakyapuri Colony,Gaya Chanakyapuri Colony
2755586,SYS172389,AV 78011 - Avanta - Female - MT.D/Brown - 50 - Full Frame - Cat Eye - TR,Frame,90031100,1,890.0,760.3,Gwalior Lashkar Ratan Jyoti Netralaya,Gwalior Lashkar Ratan Jyoti Netralaya
2673261,SYS167605,AV TR11521 - Avanta Kids - Kids - MT.Pink - 47 - Full Frame - Rectangle - TR,frame,90031100,1,790.0,701.18,Bhiwani Circular Road,Bhiwani Circular Road
